City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Quatre Cocos,MU,2021-12-01 17:50:23,-20.2078,57.7625,77.11,74,43,10.83
173,Hay River,CA,2021-12-01 17:50:24,60.8156,-115.7999,3.18,78,90,4.61
174,Korla,CN,2021-12-01 17:50:24,41.7597,86.1469,23.52,72,0,0.65
175,Bathsheba,BB,2021-12-01 17:50:25,13.2167,-59.5167,86.61,70,40,23.02
176,San Patricio,US,2021-12-01 17:50:25,28.017,-97.5169,79.07,61,99,5.46
177,La Seyne-Sur-Mer,FR,2021-12-01 17:50:25,43.0982,5.8847,54.93,87,100,5.99
178,Sorland,NO,2021-12-01 17:50:26,67.667,12.6934,30.06,59,88,17.83
179,Cayenne,GF,2021-12-01 17:50:26,4.9333,-52.3333,86.04,83,75,1.99
180,Ponta Delgada,PT,2021-12-01 17:50:27,37.7333,-25.6667,68.5,77,40,10.36
181,Repnoye,RU,2021-12-01 17:50:27,51.5921,43.1861,30.87,71,51,10.0
182,Lebu,CL,2021-12-01 17:50:28,-37.6167,-73.65,60.28,62,100,7.36
183,Sistranda,NO,2021-12-01 17:51:28,63.7256,8.834,32.9,52,97,20.22
184,Hanchuan,CN,2021-12-01 17:51:29,30.65,113.7667,39.31,27,0,2.77
185,Saint-Joseph,RE,2021-12-01 17:51:29,-21.3667,55.6167,73.78,71,9,11.39
186,Yumen,CN,2021-12-01 17:51:29,40.2833,97.2,22.28,38,0,2.62
187,La Asuncion,VE,2021-12-01 17:51:30,11.0333,-63.8628,91.13,62,98,11.5
188,Peace River,CA,2021-12-01 17:49:31,56.2501,-117.286,14.31,85,20,9.22
189,Gbarnga,LR,2021-12-01 17:51:30,6.9956,-9.4722,74.89,89,85,2.17
190,Luau,AO,2021-12-01 17:51:31,-10.7073,22.2247,67.44,91,90,3.24
191,Council Bluffs,US,2021-12-01 17:47:39,41.2619,-95.8608,59.85,51,75,4.61
192,Oyek,RU,2021-12-01 17:51:31,52.5861,104.4556,26.98,94,100,10.74
193,Coquimbo,CL,2021-12-01 17:51:32,-29.9533,-71.3436,65.93,59,0,13.8
194,Yeppoon,AU,2021-12-01 17:51:32,-23.1333,150.7333,73.18,87,0,3.56
195,Flinders,AU,2021-12-01 17:51:33,-34.5833,150.8552,63.81,88,4,1.01
196,Hofn,IS,2021-12-01 17:51:33,64.2539,-15.2082,26.08,62,80,11.3
197,Karasjok,NO,2021-12-01 17:51:33,69.4719,25.5112,28.51,82,100,26.71
198,Oster,UA,2021-12-01 17:51:34,50.9506,30.8823,31.89,79,22,7.87
199,Codrington,AU,2021-12-01 17:51:34,-38.2667,141.9667,54.73,97,16,2.86
200,Saskylakh,RU,2021-12-01 17:51:35,71.9167,114.0833,-33.21,99,100,1.83
201,Nouadhibou,MR,2021-12-01 17:49:44,20.931,-17.0347,69.78,56,5,13.8
202,Orneta,PL,2021-12-01 17:51:35,54.1148,20.1333,33.17,98,100,18.7
203,Wanning,CN,2021-12-01 17:51:36,18.8003,110.3967,66.65,67,88,11.56
204,Vila Velha,BR,2021-12-01 17:51:36,-20.3297,-40.2925,82.35,85,0,5.75
205,Katsuura,JP,2021-12-01 17:51:37,35.1333,140.3,50.14,54,9,7.56
206,Ahipara,NZ,2021-12-01 17:51:37,-35.1667,173.1667,61.72,85,100,4.56
207,Tyulgan,RU,2021-12-01 17:51:37,52.3405,56.166,34.3,96,71,9.82
208,Altay,CN,2021-12-01 17:51:38,47.8667,88.1167,19.83,49,26,8.57
209,Upernavik,GL,2021-12-01 17:51:38,72.7868,-56.1549,23.63,67,100,8.81
210,Serra Negra,BR,2021-12-01 17:51:38,-22.6122,-46.7006,82.71,38,13,8.01
211,Maneadero,MX,2021-12-01 17:51:39,31.7167,-116.5667,74.19,33,57,3.44
212,Labuhan,ID,2021-12-01 17:51:39,-6.8844,112.2051,78.49,84,100,3.49
213,Mubende,UG,2021-12-01 17:51:40,0.5606,31.39,66.6,79,98,1.12
214,Lata,PT,2021-12-01 17:51:40,40.1629,-8.3327,54.01,88,100,8.9
215,Abu Samrah,SY,2021-12-01 17:51:41,35.3029,37.1841,54.55,67,26,14.79
216,Clyde River,CA,2021-12-01 17:51:41,70.4692,-68.5914,5.23,92,100,28.77
217,Beringovskiy,RU,2021-12-01 17:51:42,63.05,179.3167,27.19,97,100,20.0
218,Hervey Bay,AU,2021-12-01 17:51:42,-25.2986,152.8535,75.04,96,5,3.0
219,Marsa Matruh,EG,2021-12-01 17:51:43,31.3525,27.2453,64.6,59,40,13.8
220,Srednekolymsk,RU,2021-12-01 17:51:43,67.45,153.6833,-32.17,100,97,6.22
221,Vanderhoof,CA,2021-12-01 17:51:44,54.0166,-124.0198,35.89,87,100,1.74
222,Provideniya,RU,2021-12-01 17:51:44,64.3833,-173.3,-3.64,70,0,3.85
223,Nanortalik,GL,2021-12-01 17:51:44,60.1432,-45.2371,33.55,97,100,29.46
224,Mahebourg,MU,2021-12-01 17:51:45,-20.4081,57.7,77.29,78,40,8.05
225,Cheremukhovo,RU,2021-12-01 17:51:45,60.3484,59.9851,19.13,96,100,6.02
226,Chaoyang,CN,2021-12-01 17:51:46,41.5703,120.4586,27.18,50,0,6.22
227,Nantucket,US,2021-12-01 17:51:46,41.2835,-70.0995,50.11,55,1,14.97
228,Chivilcoy,AR,2021-12-01 17:52:47,-34.8957,-60.0167,75.7,10,91,7.0
229,Dawei,MM,2021-12-01 17:52:47,14.0833,98.2,74.77,64,100,9.06
230,Salalah,OM,2021-12-01 17:52:47,17.0151,54.0924,74.93,43,0,3.67
231,Victoria,HK,2021-12-01 17:50:16,22.2855,114.1577,62.58,41,71,1.01
232,Sao Joao Da Barra,BR,2021-12-01 17:52:48,-21.6403,-41.0511,86.09,79,57,4.0
233,Kinlochleven,GB,2021-12-01 17:52:48,56.7115,-4.9661,41.76,88,26,3.8
234,Saint-Francois,FR,2021-12-01 17:52:49,46.4154,3.9054,46.47,83,90,4.61
235,Havre-Saint-Pierre,CA,2021-12-01 17:52:49,50.2334,-63.5986,26.6,54,90,4.61
236,Buluang,PH,2021-12-01 17:52:49,13.3068,123.3425,77.29,91,100,8.25
237,Lubumbashi,CD,2021-12-01 17:52:50,-11.6609,27.4794,72.79,53,82,4.52
238,Santa Rosalia,MX,2021-12-01 17:52:50,27.3167,-112.2833,74.66,26,0,3.36
239,Rawson,AR,2021-12-01 17:50:51,-43.3002,-65.1023,74.14,30,52,13.18
240,Chimbarongo,CL,2021-12-01 17:52:51,-34.7,-71.05,71.98,18,20,8.88
241,Turek,PL,2021-12-01 17:52:51,52.0155,18.5005,39.88,93,100,18.75
242,Chicama,PE,2021-12-01 17:52:52,-7.8447,-79.1469,66.74,60,81,10.71
243,Cubara,CO,2021-12-01 17:52:52,7.0008,-72.1085,91.11,41,61,5.41
244,Saint George,US,2021-12-01 17:49:57,37.1041,-113.5841,64.35,34,1,3.44
245,Iskateley,RU,2021-12-01 17:52:53,67.6803,53.1512,11.44,94,100,19.24
246,Kyabe,TD,2021-12-01 17:52:53,9.4515,18.9449,85.6,18,41,4.88
247,Adrar,MR,2021-12-01 17:52:54,20.5022,-10.0711,75.18,10,98,9.44
248,Nyurba,RU,2021-12-01 17:52:54,63.2842,118.3319,-25.06,99,100,4.07
249,Dinard,FR,2021-12-01 17:52:54,48.6314,-2.0614,48.81,44,75,16.11
250,Neuquen,AR,2021-12-01 17:49:57,-38.9516,-68.0591,82.29,28,0,5.75
251,Lincoln,US,2021-12-01 17:51:24,40.8,-96.667,61.39,50,1,5.01
252,Norsup,VU,2021-12-01 17:52:55,-16.0667,167.3833,79.83,81,72,5.91
253,Bumba,CD,2021-12-01 17:52:55,2.1833,22.4667,75.36,81,90,2.44
254,Mayo,US,2021-12-01 17:52:56,38.8876,-76.5119,59.38,57,6,5.99
255,Zaysan,KZ,2021-12-01 17:52:56,47.4667,84.8667,16.21,73,100,1.68
256,Constitucion,CL,2021-12-01 17:52:57,-35.3333,-72.4167,63.28,62,62,13.06
257,Guerrero Negro,MX,2021-12-01 17:52:57,27.9769,-114.0611,71.22,53,0,1.74
258,Tilichiki,RU,2021-12-01 17:52:58,60.4667,166.1,4.77,87,75,7.4
259,Fort Nelson,CA,2021-12-01 17:52:58,58.8053,-122.7002,-11.61,84,40,0.0
260,Itarema,BR,2021-12-01 17:52:58,-2.9248,-39.9167,87.13,61,81,15.88
261,Krasnohrad,UA,2021-12-01 17:52:59,49.3814,35.4402,32.61,85,99,12.26
262,Brae,GB,2021-12-01 17:52:59,60.3964,-1.353,35.51,64,100,32.35
263,Orange Cove,US,2021-12-01 17:53:00,36.6244,-119.3137,68.49,29,0,2.48
264,Berlevag,NO,2021-12-01 17:53:00,70.8578,29.0864,33.75,69,75,33.38
265,Alice Springs,AU,2021-12-01 17:53:00,-23.7,133.8833,65.75,55,0,0.0
266,Dingle,PH,2021-12-01 17:53:01,10.9995,122.6711,75.79,93,99,6.02
267,Alta Floresta,BR,2021-12-01 17:53:01,-9.8756,-56.0861,78.62,89,90,5.75
268,Sao Jose Da Coroa Grande,BR,2021-12-01 17:53:02,-8.8978,-35.1478,84.27,58,97,11.16
269,Iqaluit,CA,2021-12-01 17:51:01,63.7506,-68.5145,10.13,85,75,10.36
270,Atuona,PF,2021-12-01 17:53:02,-9.8,-139.0333,78.49,78,38,23.38
271,Emba,KZ,2021-12-01 17:53:03,48.8264,58.1442,36.54,82,22,8.84
272,Los Llanos De Aridane,ES,2021-12-01 17:54:03,28.6585,-17.9182,64.15,76,40,3.0
273,Valparaiso,CL,2021-12-01 17:53:20,-33.0393,-71.6273,68.23,55,0,6.91
274,Ambilobe,MG,2021-12-01 17:54:04,-13.2,49.05,78.1,68,31,2.91
275,Palivere,EE,2021-12-01 17:54:04,58.9664,23.8911,21.09,81,36,3.06
276,Boshnyakovo,RU,2021-12-01 17:54:05,49.6333,142.1667,27.34,97,100,29.57
277,Dikson,RU,2021-12-01 17:54:05,73.5069,80.5464,-7.2,97,100,14.65
278,Carbonia,IT,2021-12-01 17:54:06,39.1672,8.5222,55.0,86,41,8.32
279,Huanren,CN,2021-12-01 17:54:06,41.2647,125.3667,8.83,96,20,3.6
280,Marcianise,IT,2021-12-01 17:54:07,41.0322,14.3009,56.44,88,75,3.44
281,Werda,BW,2021-12-01 17:54:07,-25.2667,23.2833,85.59,28,65,1.83
282,Pederneiras,BR,2021-12-01 17:54:07,-22.3517,-48.775,91.18,34,1,7.07
283,Baykit,RU,2021-12-01 17:54:08,61.67,96.37,-2.47,93,100,2.55
284,Carnarvon,AU,2021-12-01 17:54:08,-24.8667,113.6333,69.87,78,75,19.57
285,Normandin,CA,2021-12-01 17:54:08,48.8333,-72.5321,23.31,63,88,16.11
286,Vondrozo,MG,2021-12-01 17:54:09,-22.8167,47.2833,69.87,94,94,5.32
287,Petrozavodsk,RU,2021-12-01 17:54:09,61.7849,34.3469,18.86,85,100,6.71
288,Puerto Colombia,CO,2021-12-01 17:52:59,10.9878,-74.9547,86.09,75,38,10.42
289,Sao Joaquim,BR,2021-12-01 17:54:10,-28.2939,-49.9317,70.81,38,0,4.36
290,Ugoofaaru,MV,2021-12-01 17:54:10,5.6667,73.0,82.47,75,21,7.54
291,Tuburan,PH,2021-12-01 17:54:10,6.6439,122.2736,80.51,80,100,2.59
292,Makaleng,BW,2021-12-01 17:54:11,-20.9,27.2833,83.1,25,35,10.98
